Z_space,Penalty,C,Train_F1,Val_F1,Val_Accuracy,Val_Precision,Val_Recall
Z0,L1,0.001,0.0000,0.0000,0.4457,0.0000,0.0000
Z0,L1,0.010,0.0000,0.0000,0.4457,0.0000,0.0000
Z0,L1,0.100,0.8592,0.8670,0.8533,0.8713,0.8627
Z0,L1,1.000,0.8765,0.8768,0.8641,0.8812,0.8725
Z0,L1,10.000,0.8668,0.8627,0.8478,0.8627,0.8627
Z0,L1,100.000,0.8668,0.8627,0.8478,0.8627,0.8627
Z0,L2,0.001,0.7683,0.8031,0.7283,0.6711,1.0000
Z0,L2,0.010,0.8633,0.8558,0.8370,0.8396,0.8725
Z0,L2,0.100,0.8696,0.8768,0.8641,0.8812,0.8725
Z0,L2,1.000,0.8744,0.8683,0.8533,0.8641,0.8725
Z0,L2,10.000,0.8668,0.8627,0.8478,0.8627,0.8627
Z0,L2,100.000,0.8668,0.8627,0.8478,0.8627,0.8627
Z0,None,None,0.8668,0.8627,0.8478,0.8627,0.8627
Z1,L1,0.001,0.0000,0.0000,0.4457,0.0000,0.0000
Z1,L1,0.010,0.0000,0.0000,0.4457,0.0000,0.0000
Z1,L1,0.100,0.8694,0.8835,0.8696,0.8750,0.8922
Z1,L1,1.000,0.9392,0.8544,0.8370,0.8462,0.8627
Z1,L1,10.000,0.9533,0.8286,0.8043,0.8056,0.8529
Z1,L1,100.000,0.9778,0.7745,0.7500,0.7745,0.7745
Z1,L2,0.001,0.8571,0.8402,0.8098,0.7863,0.9020
Z1,L2,0.010,0.8852,0.8614,0.8478,0.8700,0.8529
Z1,L2,0.100,0.9100,0.8599,0.8424,0.8476,0.8725
Z1,L2,1.000,0.9409,0.8421,0.8207,0.8224,0.8627
Z1,L2,10.000,0.9487,0.8286,0.8043,0.8056,0.8529
Z1,L2,100.000,0.9630,0.8134,0.7880,0.7944,0.8333
Z1,None,None,1.0000,0.7300,0.7065,0.7449,0.7157
Z2,L1,0.001,0.0000,0.0000,0.4457,0.0000,0.0000
Z2,L1,0.010,0.7901,0.7487,0.7337,0.7849,0.7157
Z2,L1,0.100,0.8792,0.8756,0.8641,0.8889,0.8627
Z2,L1,1.000,0.9655,0.8039,0.7826,0.8039,0.8039
Z2,L1,10.000,1.0000,0.8079,0.7880,0.8119,0.8039
Z2,L1,100.000,1.0000,0.7817,0.7663,0.8105,0.7549
Z2,L2,0.001,0.8771,0.8657,0.8533,0.8788,0.8529
Z2,L2,0.010,0.9148,0.8824,0.8696,0.8824,0.8824
Z2,L2,0.100,0.9557,0.8159,0.7989,0.8283,0.8039
Z2,L2,1.000,0.9926,0.8058,0.7826,0.7981,0.8137
Z2,L2,10.000,1.0000,0.8177,0.7989,0.8218,0.8137
Z2,L2,100.000,1.0000,0.7960,0.7772,0.8081,0.7843
Z2,None,None,1.0000,0.7638,0.7446,0.7835,0.7451
Z3,L1,0.001,0.0000,0.0000,0.4457,0.0000,0.0000
Z3,L1,0.010,0.7647,0.7563,0.6848,0.6618,0.8824
Z3,L1,0.100,0.8771,0.8442,0.8315,0.8660,0.8235
Z3,L1,1.000,0.9876,0.7959,0.7826,0.8298,0.7647
Z3,L1,10.000,1.0000,0.7822,0.7609,0.7900,0.7745
Z3,L1,100.000,1.0000,0.8019,0.7772,0.7905,0.8137
Z3,L2,0.001,0.9069,0.8571,0.8478,0.8936,0.8235
Z3,L2,0.010,0.9409,0.8300,0.8152,0.8469,0.8137
Z3,L2,0.100,0.9827,0.8020,0.7826,0.8100,0.7941
Z3,L2,1.000,0.9975,0.8000,0.7772,0.7961,0.8039
Z3,L2,10.000,1.0000,0.8057,0.7772,0.7798,0.8333
Z3,L2,100.000,1.0000,0.8137,0.7935,0.8137,0.8137
Z3,None,None,1.0000,0.7723,0.7500,0.7800,0.7647
