MLP Structure,Activation,Alpha,Train_F1,Val_F1,Val_Acc,Val_Prec,Val_Rec
50,relu,0.0000,0.7629,0.7391,0.7391,0.8293,0.6667
50,relu,0.0001,0.7629,0.7391,0.7391,0.8293,0.6667
50,relu,0.0010,0.7629,0.7391,0.7391,0.8293,0.6667
50,relu,0.0100,0.7629,0.7391,0.7391,0.8293,0.6667
50,relu,0.1000,0.7629,0.7391,0.7391,0.8293,0.6667
50,relu,1.0000,0.7629,0.7363,0.7391,0.8375,0.6569
50,tanh,0.0000,0.6567,0.6971,0.7120,0.8356,0.5980
50,tanh,0.0001,0.6567,0.6971,0.7120,0.8356,0.5980
50,tanh,0.0010,0.6567,0.6971,0.7120,0.8356,0.5980
50,tanh,0.0100,0.6567,0.6971,0.7120,0.8356,0.5980
50,tanh,0.1000,0.6567,0.6971,0.7120,0.8356,0.5980
50,tanh,1.0000,0.6567,0.6971,0.7120,0.8356,0.5980
(50-50),relu,0.0000,0.8389,0.8455,0.8152,0.7881,0.9118
(50-50),relu,0.0001,0.8389,0.8455,0.8152,0.7881,0.9118
(50-50),relu,0.0010,0.8389,0.8455,0.8152,0.7881,0.9118
(50-50),relu,0.0100,0.8389,0.8455,0.8152,0.7881,0.9118
(50-50),relu,0.1000,0.8389,0.8455,0.8152,0.7881,0.9118
(50-50),relu,1.0000,0.8381,0.8416,0.8098,0.7815,0.9118
(50-50),tanh,0.0000,0.8333,0.8599,0.8424,0.8476,0.8725
(50-50),tanh,0.0001,0.8333,0.8599,0.8424,0.8476,0.8725
(50-50),tanh,0.0010,0.8333,0.8599,0.8424,0.8476,0.8725
(50-50),tanh,0.0100,0.8333,0.8599,0.8424,0.8476,0.8725
(50-50),tanh,0.1000,0.8333,0.8599,0.8424,0.8476,0.8725
(50-50),tanh,1.0000,0.8317,0.8780,0.8641,0.8738,0.8824
(50-50-50),relu,0.0000,0.8689,0.8614,0.8478,0.8700,0.8529
(50-50-50),relu,0.0001,0.8689,0.8614,0.8478,0.8700,0.8529
(50-50-50),relu,0.0010,0.8689,0.8614,0.8478,0.8700,0.8529
(50-50-50),relu,0.0100,0.8689,0.8614,0.8478,0.8700,0.8529
(50-50-50),relu,0.1000,0.8689,0.8614,0.8478,0.8700,0.8529
(50-50-50),relu,1.0000,0.8543,0.8513,0.8424,0.8925,0.8137
(50-50-50),tanh,0.0000,0.8606,0.8657,0.8533,0.8788,0.8529
(50-50-50),tanh,0.0001,0.8606,0.8657,0.8533,0.8788,0.8529
(50-50-50),tanh,0.0010,0.8606,0.8657,0.8533,0.8788,0.8529
(50-50-50),tanh,0.0100,0.8606,0.8657,0.8533,0.8788,0.8529
(50-50-50),tanh,0.1000,0.8606,0.8657,0.8533,0.8788,0.8529
(50-50-50),tanh,1.0000,0.8655,0.8586,0.8478,0.8854,0.8333
(50-50-50-50),relu,0.0000,0.8437,0.8485,0.8370,0.8750,0.8235
(50-50-50-50),relu,0.0001,0.8437,0.8485,0.8370,0.8750,0.8235
(50-50-50-50),relu,0.0010,0.8437,0.8485,0.8370,0.8750,0.8235
(50-50-50-50),relu,0.0100,0.8473,0.8485,0.8370,0.8750,0.8235
(50-50-50-50),relu,0.1000,0.8473,0.8426,0.8315,0.8737,0.8137
(50-50-50-50),relu,1.0000,0.8431,0.8308,0.8207,0.8710,0.7941
(50-50-50-50),tanh,0.0000,0.8592,0.8657,0.8533,0.8788,0.8529
(50-50-50-50),tanh,0.0001,0.8592,0.8657,0.8533,0.8788,0.8529
(50-50-50-50),tanh,0.0010,0.8592,0.8657,0.8533,0.8788,0.8529
(50-50-50-50),tanh,0.0100,0.8592,0.8657,0.8533,0.8788,0.8529
(50-50-50-50),tanh,0.1000,0.8592,0.8657,0.8533,0.8788,0.8529
(50-50-50-50),tanh,1.0000,0.8571,0.8713,0.8587,0.8800,0.8627
